section,german,english
2. Präteritum (simple past),hatten,had (plural past of haben)
2. Präteritum (simple past),wurde,became / was (past of werden)
2. Präteritum (simple past),wurden,became / were (plural)
2. Präteritum (simple past),konnte,could (past of können)
2. Präteritum (simple past),konnten,could (plural)
2. Präteritum (simple past),musste,had to (past of müssen)
2. Präteritum (simple past),mussten,had to (plural)
2. Präteritum (simple past),wollte,wanted (past of wollen)
2. Präteritum (simple past),wollten,wanted (plural)
2. Präteritum (simple past),sollte,should / was supposed to (past of sollen)
2. Präteritum (simple past),durfte,was allowed to (past of dürfen)
2. Präteritum (simple past),wusste,knew (past of wissen)
2. Präteritum (simple past),ging,went (past of gehen)
2. Präteritum (simple past),kam,came (past of kommen)
2. Präteritum (simple past),sagte,said (past of sagen)
2. Präteritum (simple past),machte,made / did (past of machen)
2. Präteritum (simple past),gab,gave (past of geben)
2. Präteritum (simple past),nahm,took (past of nehmen)
2. Präteritum (simple past),stand,stood (past of stehen)
2. Präteritum (simple past),saß,sat (past of sitzen)
2. Präteritum (simple past),lag,lay (past of liegen)
2. Präteritum (simple past),fand,found (past of finden)
2. Präteritum (simple past),dachte,thought (past of denken)
2. Präteritum (simple past),brachte,brought (past of bringen)
2. Präteritum (simple past),fragte,asked (past of fragen)
2. Präteritum (simple past),antwortete,answered (past of antworten)
3. Future & werden,werden,to become / will (future auxiliary)
3. Future & werden,ich werde …,I will …
3. Future & werden,bald,soon
3. Future & werden,später,later
3. Future & werden,in einer Stunde,in an hour
3. Future & werden,nächstes Jahr,next year
3. Future & werden,nächste Woche,next week
3. Future & werden,planen,to plan
3. Future & werden,vorbereiten,to prepare
3. Future & werden,versprechen,to promise
4. Reflexive verbs,sich waschen,to wash oneself
4. Reflexive verbs,sich anziehen,to get dressed
4. Reflexive verbs,sich ausziehen,to get undressed
4. Reflexive verbs,sich ausruhen,to rest
4. Reflexive verbs,sich freuen,to be glad / look forward
4. Reflexive verbs,sich interessieren,to be interested
4. Reflexive verbs,sich erinnern,to remember
4. Reflexive verbs,sich vorstellen,to introduce oneself / imagine
4. Reflexive verbs,sich beeilen,to hurry
4. Reflexive verbs,sich fühlen,to feel
4. Reflexive verbs,sich setzen,to sit down
4. Reflexive verbs,sich legen,to lie down
4. Reflexive verbs,sich treffen,to meet (each other)
4. Reflexive verbs,sich ärgern,to be annoyed
4. Reflexive verbs,sich langweilen,to be bored
4. Reflexive verbs,sich entscheiden,to decide
4. Reflexive verbs,sich entschuldigen,to apologize
4. Reflexive verbs,sich vorstellen (Dative),to introduce (someone)
4. Reflexive verbs,sich bedanken,to thank
4. Reflexive verbs,sich informieren,to inform oneself
4. Reflexive verbs,sich vorbereiten,to prepare oneself
4. Reflexive verbs,sich verlieben,to fall in love
4. Reflexive verbs,sich trennen,to separate / break up
4. Reflexive verbs,sich verabreden,to make an appointment
4. Reflexive verbs,sich irren,to be mistaken
4. Reflexive verbs,sich gewöhnen,to get used to
4. Reflexive verbs,sich konzentrieren,to concentrate
4. Reflexive verbs,sich erholen,to recover / relax
4. Reflexive verbs,sich verletzen,to injure oneself
4. Reflexive verbs,sich rasieren,to shave
4. Reflexive verbs,sich die Haare kämmen,to comb one's hair
4. Reflexive verbs,sich die Zähne putzen,to brush one's teeth
5. Comparisons & quantity,größer,bigger
5. Comparisons & quantity,kleiner,smaller
5. Comparisons & quantity,besser,better
5. Comparisons & quantity,schlechter,worse
5. Comparisons & quantity,schneller,faster
5. Comparisons & quantity,langsamer,slower
5. Comparisons & quantity,teurer,more expensive
5. Comparisons & quantity,billiger,cheaper
5. Comparisons & quantity,älter,older
5. Comparisons & quantity,jünger,younger
5. Comparisons & quantity,länger,longer
5. Comparisons & quantity,kürzer,shorter
5. Comparisons & quantity,höher,higher / taller
5. Comparisons & quantity,niedriger,lower
5. Comparisons & quantity,stärker,stronger
5. Comparisons & quantity,schwächer,weaker
5. Comparisons & quantity,am besten,best (superlative)
5. Comparisons & quantity,am schlechtesten,worst
5. Comparisons & quantity,am größten,biggest
5. Comparisons & quantity,am wichtigsten,most important
5. Comparisons & quantity,als,than
5. Comparisons & quantity,so … wie,as … as
5. Comparisons & quantity,je … desto,the … the …
5. Comparisons & quantity,viel,much / a lot
5. Comparisons & quantity,wenig,little / few
5. Comparisons & quantity,mehr,more
5. Comparisons & quantity,weniger,less
5. Comparisons & quantity,am meisten,most
5. Comparisons & quantity,genug,enough
5. Comparisons & quantity,zu viel,too much
5. Comparisons & quantity,zu wenig,too little
6. Dative case,mir,me (dative)
6. Dative case,dir,you (dative)
6. Dative case,ihm,him (dative)
6. Dative case,ihr,her (dative)
6. Dative case,uns,us (dative)
6. Dative case,euch,you all (dative)
6. Dative case,ihnen,them (dative)
6. Dative case,Ihnen,you (formal dative)
6. Dative case,dem Mann,the man (dative)
6. Dative case,der Frau,the woman (dative)
6. Dative case,dem Kind,the child (dative)
6. Dative case,den Kindern,the children (dative)
6. Dative case,helfen,to help (+ dative)
6. Dative case,danken,to thank (+ dative)
6. Dative case,gehören,to belong to (+ dative)
6. Dative case,gefallen,to please / like (+ dative)
6. Dative case,passen,to fit / suit (+ dative)
6. Dative case,folgen,to follow (+ dative)
6. Dative case,antworten,to answer (+ dative)
6. Dative case,gratulieren,to congratulate (+ dative)
6. Dative case,vertrauen,to trust (+ dative)
6. Dative case,fehlen,to be missing / lack (+ dative)
6. Dative case,schmecken,to taste (+ dative)
6. Dative case,glücken,to succeed (+ dative)
6. Dative case,empfehlen,to recommend (+ dative)
6. Dative case,erlauben,to allow (+ dative)
6. Dative case,verbieten,to forbid (+ dative)
6. Dative case,erklären,to explain (+ dative)
6. Dative case,zeigen,to show (+ dative)
6. Dative case,geben,to give (+ dative)
7. Dative prepositions,mit,with
7. Dative prepositions,nach,after / to (city or country)
7. Dative prepositions,aus,from / out of
7. Dative prepositions,bei,at / near / with
7. Dative prepositions,von,from / of
7. Dative prepositions,zu,to (person or event)
7. Dative prepositions,seit,since / for (time)
7. Dative prepositions,gegenüber,opposite / across from
7. Dative prepositions,ab,from (starting point)
7. Dative prepositions,außer,except / besides
7. Dative prepositions,während,during
7. Dative prepositions,trotz,in spite of (+ genitive common at A2)
7. Dative prepositions,wegen,because of (+ genitive)
8. Accusative prepositions,durch,through
8. Accusative prepositions,für,for
8. Accusative prepositions,gegen,against
8. Accusative prepositions,ohne,without
8. Accusative prepositions,um,around / at (time)
8. Accusative prepositions,bis,until / up to
8. Accusative prepositions,entlang,along
9. Two-way prepositions (Wechselpräpositionen),in,in / into
9. Two-way prepositions (Wechselpräpositionen),an,at / on
9. Two-way prepositions (Wechselpräpositionen),auf,on / onto
9. Two-way prepositions (Wechselpräpositionen),über,over / about
9. Two-way prepositions (Wechselpräpositionen),unter,under
9. Two-way prepositions (Wechselpräpositionen),vor,in front of / before
9. Two-way prepositions (Wechselpräpositionen),hinter,behind
9. Two-way prepositions (Wechselpräpositionen),neben,beside / next to
9. Two-way prepositions (Wechselpräpositionen),zwischen,between
9. Two-way prepositions (Wechselpräpositionen),Wo? (Dativ),Where? (static location)
9. Two-way prepositions (Wechselpräpositionen),Wohin? (Akkusativ),Where to? (direction)
10. Modal verbs (expanded),können,to be able to / can
10. Modal verbs (expanded),müssen,to have to / must
10. Modal verbs (expanded),wollen,to want to
10. Modal verbs (expanded),sollen,should / be supposed to
10. Modal verbs (expanded),dürfen,to be allowed to / may
10. Modal verbs (expanded),mögen,to like
10. Modal verbs (expanded),möchten,would like to
10. Modal verbs (expanded),haben … müssen,had to
10. Modal verbs (expanded),haben … können,could / was able to
10. Modal verbs (expanded),haben … wollen,wanted to
11. Separable verbs,anfangen,to begin
11. Separable verbs,aufstehen,to get up
11. Separable verbs,aufhören,to stop
11. Separable verbs,einkaufen,to shop
11. Separable verbs,ausgehen,to go out
11. Separable verbs,mitkommen,to come along
11. Separable verbs,mitbringen,to bring along
11. Separable verbs,mitnehmen,to take along
11. Separable verbs,anrufen,to call (phone)
11. Separable verbs,abholen,to pick up
11. Separable verbs,zurückkommen,to come back
11. Separable verbs,zurückgeben,to give back
11. Separable verbs,einladen,to invite
11. Separable verbs,fernsehen,to watch TV
11. Separable verbs,mitmachen,to participate
11. Separable verbs,vorbereiten,to prepare
11. Separable verbs,weggehen,to go away
11. Separable verbs,herkommen,to come here
11. Separable verbs,hinfallen,to fall down
11. Separable verbs,anmelden,to register / sign up
11. Separable verbs,abmelden,to deregister / log out
11. Separable verbs,einchecken,to check in
11. Separable verbs,auschecken,to check out
11. Separable verbs,umsteigen,to change (transport)
11. Separable verbs,einsteigen,to get on / board
11. Separable verbs,aussteigen,to get off
11. Separable verbs,anbieten,to offer
11. Separable verbs,absagen,to cancel
11. Separable verbs,aufpassen,to pay attention / look after
11. Separable verbs,mitarbeiten,to collaborate
11. Separable verbs,herunterladen,to download
11. Separable verbs,hochladen,to upload
11. Separable verbs,anmachen,to turn on
11. Separable verbs,ausmachen,to turn off
12. Inseparable prefix verbs,bekommen,to receive / get
12. Inseparable prefix verbs,verstehen,to understand
12. Inseparable prefix verbs,vergessen,to forget
12. Inseparable prefix verbs,verlieren,to lose
12. Inseparable prefix verbs,verkaufen,to sell
12. Inseparable prefix verbs,erklären,to explain
12. Inseparable prefix verbs,erzählen,to tell
12. Inseparable prefix verbs,erleben,to experience
12. Inseparable prefix verbs,erkennen,to recognize
12. Inseparable prefix verbs,erhalten,to receive
12. Inseparable prefix verbs,empfehlen,to recommend
12. Inseparable prefix verbs,empfangen,to receive
12. Inseparable prefix verbs,entdecken,to discover
12. Inseparable prefix verbs,entstehen,to arise / develop
12. Inseparable prefix verbs,entscheiden,to decide
12. Inseparable prefix verbs,entschuldigen,to excuse
12. Inseparable prefix verbs,beenden,to finish / end
12. Inseparable prefix verbs,besuchen,to visit
12. Inseparable prefix verbs,besichtigen,to sightsee / tour
12. Inseparable prefix verbs,beschreiben,to describe
12. Inseparable prefix verbs,bestellen,to order
12. Inseparable prefix verbs,bestätigen,to confirm
12. Inseparable prefix verbs,bezahlen,to pay
12. Inseparable prefix verbs,bedeuten,to mean
12. Inseparable prefix verbs,begründen,to justify
13. Conjunctions & clauses,weil,because
13. Conjunctions & clauses,dass,that (conjunction)
13. Conjunctions & clauses,wenn,if / when (conditional)
13. Conjunctions & clauses,ob,whether
13. Conjunctions & clauses,als,when (past) / as
13. Conjunctions & clauses,obwohl,although
13. Conjunctions & clauses,deshalb,therefore
13. Conjunctions & clauses,trotzdem,nevertheless
13. Conjunctions & clauses,damit,so that
13. Conjunctions & clauses,bevor,before
13. Conjunctions & clauses,nachdem,after
13. Conjunctions & clauses,bis,until
13. Conjunctions & clauses,seitdem,since then
13. Conjunctions & clauses,während,while
13. Conjunctions & clauses,indem,by (doing)
13. Conjunctions & clauses,entweder … oder,either … or
13. Conjunctions & clauses,weder … noch,neither … nor
13. Conjunctions & clauses,sowohl … als auch,both … and
13. Conjunctions & clauses,je nach,depending on
13. Conjunctions & clauses,außer dass,except that
14. Health & body,Kopfschmerzen,headache
14. Health & body,Rückenschmerzen,back pain
14. Health & body,Bauchschmerzen,stomach ache
14. Health & body,Fieber,fever
14. Health & body,Husten,cough
14. Health & body,Schnupfen,cold (runny nose)
14. Health & body,Erkältung,cold (illness)
14. Health & body,Grippe,flu
14. Health & body,Allergie,allergy
14. Health & body,Verletzung,injury
14. Health & body,Wunde,wound
14. Health & body,Schmerzen,pain
14. Health & body,Übelkeit,nausea
14. Health & body,Blut,blood
14. Health & body,Atem,breath
14. Health & body,Herz,heart
14. Health & body,Lunge,lung
14. Health & body,Magen,stomach
14. Health & body,Rücken,back
14. Health & body,Bauch,belly / abdomen
14. Health & body,Hals,throat / neck
14. Health & body,Schulter,shoulder
14. Health & body,Ellbogen,elbow
14. Health & body,Knie,knee
14. Health & body,Knöchel,ankle
14. Health & body,Zehe,toe
14. Health & body,Haut,skin
14. Health & body,krank,sick
14. Health & body,gesund,healthy
14. Health & body,schwanger,pregnant
14. Health & body,müde,tired
14. Health & body,fit,fit
14. Health & body,Arzt,doctor (male)
14. Health & body,Ärztin,doctor (female)
14. Health & body,Krankenschwester,nurse (female)
14. Health & body,Krankenhaus,hospital
14. Health & body,Apotheke,pharmacy
14. Health & body,Medikament,medicine / medication
14. Health & body,Tablette,pill / tablet
14. Health & body,Rezept,prescription
14. Health & body,Termin,appointment
14. Health & body,Untersuchung,examination
14. Health & body,Impfung,vaccination
14. Health & body,Notfall,emergency
14. Health & body,Erste Hilfe,first aid
14. Health & body,sich fühlen,to feel
14. Health & body,sich erholen,to recover
14. Health & body,heilen,to heal
14. Health & body,behandeln,to treat
14. Health & body,untersuchen,to examine
15. Work & career,Beruf,profession / job
15. Work & career,Stelle,position / job
15. Work & career,Arbeitsplatz,workplace
15. Work & career,Arbeitszeit,working hours
15. Work & career,Teilzeit,part-time
15. Work & career,Vollzeit,full-time
15. Work & career,Überstunden,overtime
15. Work & career,Pause,break
15. Work & career,Kollege,colleague (male)
15. Work & career,Kollegin,colleague (female)
15. Work & career,Chef,boss (male)
15. Work & career,Chefin,boss (female)
15. Work & career,Mitarbeiter,employee (male)
15. Work & career,Mitarbeiterin,employee (female)
15. Work & career,Gehalt,salary
15. Work & career,Lohn,wage
15. Work & career,Vertrag,contract
15. Work & career,Kündigung,termination / notice
15. Work & career,Bewerbung,job application
15. Work & career,Lebenslauf,CV / résumé
15. Work & career,Anschreiben,cover letter
15. Work & career,Vorstellungsgespräch,job interview
15. Work & career,Qualifikation,qualification
15. Work & career,Erfahrung,experience
15. Work & career,Ausbildung,training / apprenticeship
15. Work & career,Praktikum,internship
15. Work & career,Arbeitslosigkeit,unemployment
15. Work & career,Arbeitsamt,employment office
15. Work & career,selbstständig,self-employed
15. Work & career,Freelancer,Freelancer
15. Work & career,Firma,company
15. Work & career,Büro,office
15. Work & career,Meeting,meeting
15. Work & career,Projekt,project
15. Work & career,Deadline,deadline
15. Work & career,Verantwortung,responsibility
15. Work & career,Stress,stress
15. Work & career,Feierabend,end of workday
16. Education & study,Universität,university
16. Education & study,Hochschule,university / college
16. Education & study,Fachhochschule,university of applied sciences
16. Education & study,Semester,semester
16. Education & study,Vorlesung,lecture
16. Education & study,Seminar,seminar
16. Education & study,Prüfung,exam
16. Education & study,Test,test
16. Education & study,Note,grade
16. Education & study,Zeugnis,certificate / report card
16. Education & study,Diplom,diploma
16. Education & study,Abschluss,degree / graduation
16. Education & study,Hausaufgaben,homework
16. Education & study,Referat,presentation / talk
16. Education & study,Vortrag,lecture / talk
16. Education & study,Professor,professor (male)
16. Education & study,Professorin,professor (female)
16. Education & study,Dozent,lecturer (male)
16. Education & study,Student,student (male)
16. Education & study,Studentin,student (female)
16. Education & study,Kurs,course
16. Education & study,Lehrbuch,textbook
16. Education & study,Skript,handout / script
16. Education & study,Bibliothek,library
16. Education & study,Anmeldung,registration
16. Education & study,Stipendium,scholarship
16. Education & study,Studiengebühr,tuition fee
16. Education & study,lernen,to learn / study
16. Education & study,studieren,to study (at university)
16. Education & study,bestehen,to pass (an exam)
16. Education & study,durchfallen,to fail (an exam)
17. Travel & transport,Reise,trip / journey
17. Travel & transport,Reisebüro,travel agency
17. Travel & transport,Gepäck,luggage
17. Travel & transport,Handgepäck,carry-on luggage
17. Travel & transport,Koffer,suitcase
17. Travel & transport,Reisepass,passport
17. Travel & transport,Visum,visa
17. Travel & transport,Grenze,border
17. Travel & transport,Zoll,customs
17. Travel & transport,Abfahrt,departure
17. Travel & transport,Ankunft,arrival
17. Travel & transport,Verspätung,delay
17. Travel & transport,Anschluss,connection (transport)
17. Travel & transport,Gleis,platform / track
17. Travel & transport,Bahnsteig,platform
17. Travel & transport,Fahrplan,timetable / schedule
17. Travel & transport,Fahrkarte,ticket (transport)
17. Travel & transport,Einzelfahrkarte,single ticket
17. Travel & transport,Tageskarte,day ticket
17. Travel & transport,Monatskarte,monthly pass
17. Travel & transport,Stornierung,cancellation
17. Travel & transport,Rückfahrt,return trip
17. Travel & transport,Hin- und Rückfahrt,round trip
17. Travel & transport,Autobahn,motorway
17. Travel & transport,Baustelle,construction site
17. Travel & transport,Stau,traffic jam
17. Travel & transport,Parkplatz,parking space
17. Travel & transport,Tankstelle,gas station
17. Travel & transport,Maut,toll
17. Travel & transport,Flug,flight
17. Travel & transport,Flugzeug,airplane
17. Travel & transport,Flughafen,airport
17. Travel & transport,Gate,gate
17. Travel & transport,Boarding,boarding
17. Travel & transport,Landung,landing
17. Travel & transport,Reiseführer,travel guide
17. Travel & transport,Sehenswürdigkeit,sight / attraction
18. Hotels & accommodation,Unterkunft,accommodation
18. Hotels & accommodation,Hotel,hotel
18. Hotels & accommodation,Hostel,hostel
18. Hotels & accommodation,Pension,guesthouse
18. Hotels & accommodation,Ferienwohnung,holiday apartment
18. Hotels & accommodation,Reservierung,reservation
18. Hotels & accommodation,Buchung,booking
18. Hotels & accommodation,Rezeption,reception
18. Hotels & accommodation,Empfang,reception / front desk
18. Hotels & accommodation,Einzelzimmer,single room
18. Hotels & accommodation,Doppelzimmer,double room
18. Hotels & accommodation,Mehrbettzimmer,dorm / shared room
18. Hotels & accommodation,Frühstück,breakfast
18. Hotels & accommodation,Halbpension,half board
18. Hotels & accommodation,Vollpension,full board
18. Hotels & accommodation,Aussicht,view
18. Hotels & accommodation,Balkon,balcony
18. Hotels & accommodation,Handtuch,towel
18. Hotels & accommodation,Bettwäsche,bed linen
18. Hotels & accommodation,Minibar,minibar
18. Hotels & accommodation,Safe,safe
18. Hotels & accommodation,Schlüssel,key
18. Hotels & accommodation,Störungsmeldung,complaint
18. Hotels & accommodation,sauber,clean
18. Hotels & accommodation,schmutzig,dirty
19. Feelings & personality,glücklich,happy
19. Feelings & personality,traurig,sad
19. Feelings & personality,nervös,nervous
19. Feelings & personality,aufgeregt,excited
19. Feelings & personality,ängstlich,anxious / fearful
19. Feelings & personality,stolz,proud
19. Feelings & personality,schüchtern,shy
19. Feelings & personality,freundlich,friendly
19. Feelings & personality,unfreundlich,unfriendly
19. Feelings & personality,geduldig,patient
19. Feelings & personality,ungeduldig,impatient
19. Feelings & personality,ehrlich,honest
19. Feelings & personality,höflich,polite
19. Feelings & personality,selbstbewusst,confident
19. Feelings & personality,unsicher,insecure / uncertain
19. Feelings & personality,optimistisch,optimistic
19. Feelings & personality,pessimistisch,pessimistic
19. Feelings & personality,langweilig,boring
19. Feelings & personality,interessant,interesting
19. Feelings & personality,lustig,funny
19. Feelings & personality,ernst,serious
19. Feelings & personality,wütend,angry
19. Feelings & personality,ruhig,calm / quiet
19. Feelings & personality,gestresst,stressed
19. Feelings & personality,enttäuscht,disappointed
19. Feelings & personality,zufrieden,satisfied
19. Feelings & personality,neidisch,jealous
19. Feelings & personality,dankbar,grateful
19. Feelings & personality,überrascht,surprised
19. Feelings & personality,verliebt,in love
19. Feelings & personality,einsam,lonely
19. Feelings & personality,Stimmung,mood
19. Feelings & personality,Gefühl,feeling
20. Opinions & discussion,Meinung,opinion
20. Opinions & discussion,Ansicht,view / opinion
20. Opinions & discussion,Argument,argument
20. Opinions & discussion,Diskussion,discussion
20. Opinions & discussion,Debatte,debate
20. Opinions & discussion,glauben,to believe
20. Opinions & discussion,finden,to find / think
20. Opinions & discussion,meinen,to mean / think
20. Opinions & discussion,hoffen,to hope
20. Opinions & discussion,wünschen,to wish
20. Opinions & discussion,zustimmen,to agree
20. Opinions & discussion,widersprechen,to disagree
20. Opinions & discussion,behaupten,to claim
20. Opinions & discussion,erwähnen,to mention
20. Opinions & discussion,erklären,to explain
20. Opinions & discussion,beschreiben,to describe
20. Opinions & discussion,vergleichen,to compare
20. Opinions & discussion,Meiner Meinung nach,in my opinion
20. Opinions & discussion,Ich finde …,I think …
20. Opinions & discussion,Das stimmt,That's true
20. Opinions & discussion,Das stimmt nicht,That's not true
21. Media & communication,Nachrichten,news
21. Media & communication,Zeitung,newspaper
21. Media & communication,Zeitschrift,magazine
21. Media & communication,Artikel,article
21. Media & communication,Überschrift,headline
21. Media & communication,Bericht,report
21. Media & communication,Interview,interview
21. Media & communication,Fernsehen,television
21. Media & communication,Sendung,broadcast / show
21. Media & communication,Serie,TV series
21. Media & communication,Film,movie
21. Media & communication,Dokumentation,documentary
21. Media & communication,Werbung,advertisement
21. Media & communication,Radio,radio
21. Media & communication,Podcast,podcast
21. Media & communication,Internet,internet
21. Media & communication,Website,website
21. Media & communication,E-Mail,email
21. Media & communication,Nachricht,message
21. Media & communication,SMS,text message
21. Media & communication,Anruf,phone call
21. Media & communication,anrufen,to call (phone)
21. Media & communication,auflegen,to hang up
21. Media & communication,verbinden,to connect / put through
21. Media & communication,besetzt,engaged / busy (phone)
21. Media & communication,Mailbox,voicemail
21. Media & communication,Chat,chat
21. Media & communication,Post,social media post / mail
22. Technology & internet,Computer,computer
22. Technology & internet,Laptop,laptop
22. Technology & internet,Tablet,tablet
22. Technology & internet,Smartphone,smartphone
22. Technology & internet,Bildschirm,screen
22. Technology & internet,Tastatur,keyboard
22. Technology & internet,Maus,computer mouse
22. Technology & internet,Drucker,printer
22. Technology & internet,Passwort,password
22. Technology & internet,Benutzername,username
22. Technology & internet,Anmeldung,login / registration
22. Technology & internet,Abmeldung,logout
22. Technology & internet,Datei,file
22. Technology & internet,Ordner,folder
22. Technology & internet,Speicher,memory / storage
22. Technology & internet,Software,software
22. Technology & internet,App,app
22. Technology & internet,Update,update
22. Technology & internet,herunterladen,to download
22. Technology & internet,hochladen,to upload
22. Technology & internet,installieren,to install
22. Technology & internet,löschen,to delete
22. Technology & internet,speichern,to save
22. Technology & internet,drucken,to print
22. Technology & internet,online,online
22. Technology & internet,offline,offline
23. Household & housing,Wohnung,apartment
23. Household & housing,Mietvertrag,rental contract
23. Household & housing,Miete,rent
23. Household & housing,Nebenkosten,utilities / service charges
23. Household & housing,Kaution,deposit (rental)
23. Household & housing,Umzug,move (relocation)
23. Household & housing,Einzug,move-in
23. Household & housing,Auszug,move-out
23. Household & housing,Haushalt,household
23. Household & housing,Putzen,cleaning
23. Household & housing,Waschmaschine,washing machine
23. Household & housing,Spülmaschine,dishwasher
23. Household & housing,Staubsauger,vacuum cleaner
23. Household & housing,Bügeleisen,iron
23. Household & housing,Wäsche,laundry
23. Household & housing,Müll,trash / garbage
23. Household & housing,Mülltonne,garbage bin
23. Household & housing,recyceln,to recycle
23. Household & housing,Trennungsmüll,separated waste
23. Household & housing,Reparatur,repair
23. Household & housing,Handwerker,craftsman / tradesperson
23. Household & housing,Klempner,plumber
23. Household & housing,Elektriker,electrician
23. Household & housing,Nachbar,neighbor (male)
23. Household & housing,Nachbarin,neighbor (female)
23. Household & housing,Lärm,noise
23. Household & housing,Heizung,heating
23. Household & housing,Klimaanlage,air conditioning
23. Household & housing,Keller,basement / cellar
23. Household & housing,Dachboden,attic
23. Household & housing,Treppe,stairs
23. Household & housing,Aufzug,elevator
24. Bureaucracy & services,Behörde,authority / office
24. Bureaucracy & services,Rathaus,town hall
24. Bureaucracy & services,Bürgeramt,citizens' office
24. Bureaucracy & services,Ausländerbehörde,immigration office
24. Bureaucracy & services,Formular,form
24. Bureaucracy & services,Antrag,application
24. Bureaucracy & services,Genehmigung,permit / approval
24. Bureaucracy & services,Aufenthaltserlaubnis,residence permit
24. Bureaucracy & services,Personalausweis,ID card
24. Bureaucracy & services,Meldebescheinigung,registration certificate
24. Bureaucracy & services,Anmeldung,registration
24. Bureaucracy & services,Termin,appointment
24. Bureaucracy & services,Wartezimmer,waiting room
24. Bureaucracy & services,Schlange,queue / line
24. Bureaucracy & services,Öffnungszeiten,opening hours
24. Bureaucracy & services,Post,post office / mail
24. Bureaucracy & services,Brief,letter
24. Bureaucracy & services,Paket,parcel / package
24. Bureaucracy & services,Briefmarke,stamp
24. Bureaucracy & services,Adresse,address
24. Bureaucracy & services,Unterschrift,signature
24. Bureaucracy & services,Kopie,copy
24. Bureaucracy & services,Original,original
24. Bureaucracy & services,Stempel,stamp (official)
24. Bureaucracy & services,versichert,insured
24. Bureaucracy & services,Versicherung,insurance
24. Bureaucracy & services,Krankenversicherung,health insurance
25. Money & banking,Geld,money
25. Money & banking,Bargeld,cash
25. Money & banking,Konto,account
25. Money & banking,Bank,bank
25. Money & banking,Geldautomat,ATM
25. Money & banking,Überweisung,bank transfer
25. Money & banking,Rechnung,invoice / bill
25. Money & banking,Quittung,receipt
25. Money & banking,Preis,price
25. Money & banking,Kosten,costs
25. Money & banking,Rabatt,discount
25. Money & banking,Angebot,offer / special
25. Money & banking,teuer,expensive
25. Money & banking,billig,cheap
25. Money & banking,kostenlos,free of charge
25. Money & banking,bezahlen,to pay
25. Money & banking,abheben,to withdraw (money)
25. Money & banking,einzahlen,to deposit
25. Money & banking,sparen,to save (money)
25. Money & banking,Schulden,debts
25. Money & banking,Kredit,loan / credit
